Algorithm.Type,String.Length,Duration,Fractional.Period,Run
naive,1000,1492000,1000,1
smart,1000,61325,1000,1
naive,1064,637500,1064,1
smart,1064,64275,1064,1
naive,1133,785000,1133,1
smart,1133,70366,1133,1
naive,1207,868400,1205,1
smart,1207,77833,1205,1
naive,1285,889800,1284,1
smart,1285,110800,1284,1
naive,1368,803300,1365,1
smart,1368,86000,1365,1
naive,1457,897800,1455,1
smart,1457,90366,1455,1
naive,1551,2359500,1550,1
smart,1551,96500,1550,1
naive,1652,411100,1649,1
smart,1652,104900,1649,1
naive,1759,496000,1759,1
smart,1759,111650,1759,1
naive,1873,751300,1872,1
smart,1873,117800,1872,1
naive,1994,1024800,1994,1
smart,1994,141450,1994,1
naive,2123,2086500,2123,1
smart,2123,133250,2123,1
naive,2261,2139200,2259,1
smart,2261,90100,2259,1
naive,2408,839800,2408,1
smart,2408,72833,2408,1
naive,2564,1410100,2562,1
smart,2564,79166,2562,1
naive,2730,1712600,2730,1
smart,2730,121100,2730,1
naive,2907,3872600,2907,1
smart,2907,125150,2907,1
naive,3095,4940700,3093,1
smart,3095,110650,3093,1
naive,3295,5523500,3294,1
smart,3295,133300,3294,1
naive,3509,2618400,3508,1
smart,3509,210900,3508,1
naive,3736,2196800,3736,1
smart,3736,21350,3736,1
naive,3978,2346100,3977,1
smart,3978,22644,3977,1
naive,4236,4358100,4235,1
smart,4236,27762,4235,1
naive,4511,3078200,4511,1
smart,4511,22533,4511,1
naive,4803,6519300,4799,1
smart,4803,38250,4799,1
naive,5114,13232100,5114,1
smart,5114,35666,5114,1
naive,5446,5566000,5446,1
smart,5446,29414,5446,1
naive,5798,6054500,5797,1
smart,5798,66866,5797,1
naive,6174,5766500,6173,1
smart,6174,39233,6173,1
naive,6574,8263600,6574,1
smart,6574,42740,6574,1
naive,7000,9747900,7000,1
smart,7000,53875,7000,1
naive,7454,10655500,7454,1
smart,7454,50775,7454,1
naive,7937,30507300,7937,1
smart,7937,144000,7937,1
naive,8451,13161200,8451,1
smart,8451,55300,8451,1
naive,8998,12246200,8998,1
smart,8998,63500,8998,1
naive,9581,15258400,9581,1
smart,9581,63550,9581,1
naive,10202,19895500,10201,1
smart,10202,67700,10201,1
naive,10863,20192100,10863,1
smart,10863,62825,10863,1
naive,11567,46765700,11567,1
smart,11567,78966,11567,1
naive,12316,25201200,12316,1
smart,12316,81733,12316,1
naive,13114,31301700,13114,1
smart,13114,72133,13114,1
naive,13964,32347800,13964,1
smart,13964,94333,13964,1
naive,14868,34394700,14868,1
smart,14868,81533,14868,1
naive,15832,39870900,15832,1
smart,15832,101850,15832,1
naive,16857,43698400,16856,1
smart,16857,118550,16856,1
naive,17950,49851400,17950,1
smart,17950,92633,17950,1
naive,19113,57961500,19110,1
smart,19113,105750,19110,1
naive,20351,67376400,20351,1
smart,20351,111950,20351,1
naive,21669,75794500,21669,1
smart,21669,152550,21669,1
naive,23073,87237800,23070,1
smart,23073,158650,23070,1
naive,24568,105016200,24567,1
smart,24568,161950,24567,1
naive,26160,119433000,26159,1
smart,26160,169950,26159,1
naive,27854,119149900,27854,1
smart,27854,158350,27854,1
naive,29659,135058600,29658,1
smart,29659,215800,29658,1
naive,31581,153056000,31581,1
smart,31581,220600,31581,1
naive,33627,170186600,33627,1
smart,33627,183850,33627,1
naive,35805,195487000,35805,1
smart,35805,234900,35805,1
naive,38125,216668000,38125,1
smart,38125,276000,38125,1
naive,40595,246533600,40595,1
smart,40595,242200,40595,1
naive,43225,278431800,43223,1
smart,43225,336300,43223,1
naive,46025,315920300,46025,1
smart,46025,323200,46025,1
naive,49007,357704900,49007,1
smart,49007,276200,49007,1
naive,52182,403757700,52182,1
smart,52182,390900,52182,1
naive,55563,460622000,55563,1
smart,55563,474800,55563,1
naive,59163,548943500,59163,1
smart,59163,308600,59163,1
naive,62996,582677600,62995,1
smart,62996,440400,62995,1
naive,67077,660928900,67075,1
smart,67077,439800,67075,1
naive,71422,747531900,71422,1
smart,71422,425300,71422,1
naive,76050,882930900,76049,1
smart,76050,495700,76049,1
naive,80977,996949700,80977,1
smart,80977,595200,80977,1
naive,86223,1089045700,86223,1
smart,86223,634900,86223,1
naive,91809,1230371500,91808,1
smart,91809,890800,91808,1
naive,97757,1470639200,97757,1
smart,97757,690400,97757,1
naive,104090,1581092000,104090,1
smart,104090,712600,104090,1
naive,110834,1880907200,110834,1
smart,110834,582600,110834,1
naive,118014,2031614800,118013,1
smart,118014,842400,118013,1
naive,125660,2392502600,125659,1
smart,125660,755300,125659,1
naive,133801,2649485100,133801,1
smart,133801,1077200,133801,1
naive,142470,2959093500,142469,1
smart,142470,1165600,142469,1
naive,151700,3374281800,151699,1
smart,151700,1073600,151699,1
naive,161528,3894353000,161527,1
smart,161528,919800,161527,1
naive,171992,4334195700,171990,1
smart,171992,1275200,171990,1
naive,183135,4931241000,183134,1
smart,183135,1090300,183134,1
naive,195000,5586736000,194999,1
smart,195000,1102200,194999,1
naive,207633,6320877000,207632,1
smart,207633,1661400,207632,1
naive,221085,7157339300,221083,1
smart,221085,1417900,221083,1
naive,235408,8129703200,235408,1
smart,235408,1298400,235408,1
naive,250659,9227389900,250658,1
smart,250659,1744000,250658,1
naive,266898,10451797000,266898,1
smart,266898,2011600,266898,1
naive,284190,11880430500,284190,1
smart,284190,1917400,284190,1
naive,302601,13611194100,302601,1
smart,302601,2055600,302601,1
naive,322206,15227887200,322206,1
smart,322206,2055300,322206,1
naive,343080,17252710100,343080,1
smart,343080,1900800,343080,1
naive,365307,19571310700,365305,1
smart,365307,2599500,365305,1
naive,388974,22434489900,388974,1
smart,388974,2323400,388974,1
naive,414174,25143939600,414173,1
smart,414174,2768900,414173,1
naive,441006,28699910500,441003,1
smart,441006,2581100,441003,1
naive,469577,32362056500,469575,1
smart,469577,3106500,469575,1
naive,500000,36716793700,500000,1
smart,500000,3428600,500000,1
naive,1000,257300,1000,2
smart,1000,2961,1000,2
naive,1064,160350,1063,2
smart,1064,3300,1063,2
naive,1133,186300,1130,2
smart,1133,2819,1130,2
naive,1207,271700,1206,2
smart,1207,4123,1206,2
naive,1285,341900,1285,2
smart,1285,3531,1285,2
naive,1368,527100,1368,2
smart,1368,5929,1368,2
naive,1457,302800,1454,2
smart,1457,5644,1454,2
naive,1551,412700,1550,2
smart,1551,4331,1550,2
naive,1652,799000,1650,2
smart,1652,5586,1650,2
naive,1759,728200,1759,2
smart,1759,7396,1759,2
naive,1873,590600,1873,2
smart,1873,7278,1873,2
naive,1994,627000,1993,2
smart,1994,8080,1993,2
naive,2123,697400,2122,2
smart,2123,8554,2122,2
naive,2261,737100,2257,2
smart,2261,10080,2257,2
naive,2408,835300,2407,2
smart,2408,11388,2407,2
naive,2564,973400,2563,2
smart,2564,10325,2563,2
naive,2730,1607400,2730,2
smart,2730,12562,2730,2
naive,2907,1259700,2907,2
smart,2907,13760,2907,2
naive,3095,1367800,3094,2
smart,3095,19290,3094,2
naive,3295,1585000,3295,2
smart,3295,14535,3295,2
naive,3509,2956900,3508,2
smart,3509,21910,3508,2
naive,3736,2060200,3735,2
smart,3736,17392,3735,2
naive,3978,2303900,3977,2
smart,3978,24433,3977,2
naive,4236,2794000,4235,2
smart,4236,25050,4235,2
naive,4511,3986200,4511,2
smart,4511,21690,4511,2
naive,4803,3377400,4803,2
smart,4803,27887,4803,2
naive,5114,5120500,5114,2
smart,5114,35483,5114,2
naive,5446,4980900,5445,2
smart,5446,30471,5445,2
naive,5798,6573100,5798,2
smart,5798,29828,5798,2
naive,6174,6362400,6173,2
smart,6174,145500,6173,2
naive,6574,6258500,6573,2
smart,6574,40360,6573,2
naive,7000,7418500,7000,2
smart,7000,44600,7000,2
naive,7454,9742400,7454,2
smart,7454,40780,7454,2
naive,7937,11284900,7936,2
smart,7937,41800,7936,2
naive,8451,11697700,8451,2
smart,8451,45100,8451,2
naive,8998,12299900,8997,2
smart,8998,85400,8997,2
naive,9581,14949100,9580,2
smart,9581,67100,9580,2
naive,10202,19039200,10201,2
smart,10202,56050,10201,2
naive,10863,18629100,10863,2
smart,10863,75800,10863,2
naive,11567,21620900,11566,2
smart,11567,88066,11566,2
naive,12316,26089700,12316,2
smart,12316,82400,12316,2
naive,13114,27777500,13114,2
smart,13114,75066,13114,2
naive,13964,30748500,13963,2
smart,13964,95533,13963,2
naive,14868,35424900,14868,2
smart,14868,101950,14868,2
naive,15832,38677700,15832,2
smart,15832,105300,15832,2
naive,16857,48718600,16857,2
smart,16857,110850,16857,2
naive,17950,51857900,17950,2
smart,17950,124450,17950,2
naive,19113,56982900,19113,2
smart,19113,104750,19113,2
naive,20351,63324800,20351,2
smart,20351,118900,20351,2
naive,21669,74198600,21669,2
smart,21669,151850,21669,2
naive,23073,81626600,23073,2
smart,23073,155100,23073,2
naive,24568,89813600,24568,2
smart,24568,168450,24568,2
naive,26160,101925500,26159,2
smart,26160,179300,26159,2
naive,27854,119724200,27853,2
smart,27854,202400,27853,2
naive,29659,131849100,29659,2
smart,29659,241800,29659,2
naive,31581,151572500,31580,2
smart,31581,165400,31580,2
naive,33627,169692600,33626,2
smart,33627,222250,33626,2
naive,35805,190567700,35803,2
smart,35805,265000,35803,2
naive,38125,213848500,38125,2
smart,38125,301100,38125,2
naive,40595,245546000,40594,2
smart,40595,330400,40594,2
naive,43225,278285300,43223,2
smart,43225,272900,43223,2
naive,46025,310167800,46025,2
smart,46025,363500,46025,2
naive,49007,379273200,49006,2
smart,49007,319500,49006,2
naive,52182,396211300,52181,2
smart,52182,385300,52181,2
naive,55563,455395700,55563,2
smart,55563,370900,55563,2
naive,59163,512753100,59162,2
smart,59163,365000,59162,2
naive,62996,580071600,62996,2
smart,62996,387500,62996,2
naive,67077,659538200,67076,2
smart,67077,518000,67076,2
naive,71422,746091500,71421,2
smart,71422,488700,71421,2
naive,76050,871465900,76049,2
smart,76050,544900,76049,2
naive,80977,958093600,80977,2
smart,80977,608600,80977,2
naive,86223,1086906700,86221,2
smart,86223,606400,86221,2
naive,91809,1313321400,91809,2
smart,91809,622000,91809,2
naive,97757,1394381900,97757,2
smart,97757,699100,97757,2
naive,104090,1582903300,104090,2
smart,104090,589800,104090,2
naive,110834,1823412700,110834,2
smart,110834,747800,110834,2
naive,118014,2027258800,118013,2
smart,118014,844800,118013,2
naive,125660,2303096400,125658,2
smart,125660,881900,125658,2
naive,133801,2687023000,133799,2
smart,133801,1028100,133799,2
naive,142470,2996030600,142470,2
smart,142470,898600,142470,2
naive,151700,3379919600,151700,2
smart,151700,990100,151700,2
naive,161528,3835906200,161528,2
smart,161528,1274400,161528,2
naive,171992,4344739400,171992,2
smart,171992,1215400,171992,2
naive,183135,4933330100,183134,2
smart,183135,1253500,183134,2
naive,195000,5587650000,195000,2
smart,195000,1321300,195000,2
naive,207633,6311752000,207633,2
smart,207633,1224600,207633,2
naive,221085,7228634700,221085,2
smart,221085,2038300,221085,2
naive,235408,8148855600,235408,2
